  Date    Low     2      3      4      5      6      7      8      9    High 
  1994  -3.40   2.33  -0.67  -1.69  -2.45   3.03   0.80  -0.59  -3.15  -0.14
  1995  17.81  24.07  33.40  38.17  31.42  36.27  38.59  37.95  38.46  35.33
  1996  14.59  14.56  19.98  27.96  17.10  18.59  23.29  28.17  19.27  18.10
  1997   5.26  25.94  39.39  27.74  25.24  33.04  33.83  38.61  25.32  32.93
  1998   0.54  -0.64  19.81  15.50  10.53  16.36  23.04  27.41  28.31  54.61
  1999  13.03  14.29   1.33  -3.16   5.21   1.76   0.97  19.45  11.86  63.02
  2000 -47.49   6.19  -8.10  22.27   1.73   2.07 -10.47   1.56  -8.64 -21.93
  2001 -17.27  -9.38 -15.30  -2.39   1.28 -14.55  -0.34  -3.53 -10.96  -7.46
  2002 -36.65 -37.70 -23.32 -23.78 -17.82 -19.78  -4.00 -14.21  -6.25 -10.98
  2003  79.95  64.82  42.33  43.18  22.99  24.49  19.98  20.74  31.88  41.32
  2004  22.73   6.78  12.37  17.48   6.74  10.86  13.44   9.93  17.05   9.11
  2005   2.19   4.62  -1.05   2.15   5.82   6.85   7.28  16.04  11.92  19.13
  2006  22.54  19.72  21.22  14.61  19.01  14.56  12.11  12.20  11.97   4.08
  2007 -18.83  -8.81  -6.06  -2.07   2.06   7.14   7.33  20.10   9.53  24.58
  2008 -69.25 -53.82 -44.57 -34.42 -30.34 -32.65 -26.92 -31.81 -39.52 -39.68
  2009 131.45  75.74  71.49  51.54  46.87  48.95  28.64  20.01  14.45  12.33
  2010  23.99  15.65  19.87  12.66  16.04   8.54  19.21  26.24  24.12  32.00
  2011 -28.75  -2.48   0.32   2.05   4.66   8.24   4.17  -5.49   0.51  -7.83
  2012  15.00  11.33  22.31  16.31  20.41  10.77  16.33  13.42  17.85  17.79
  2013  45.50  26.53  29.72  32.53  39.87  38.79  32.90  40.79  34.03  43.17
